	BALBcJ_F0_Control_BALB01C	BALBcJ_F0_Control_BALB01D	C57BL6J_F0_Control_C5701C	C57BL6J_F0_Control_C5701D	BALBcJ_F0_LPS_20210513_1a	BALBcJ_F0_LPS_20210513_1b	C57BL6J_F0_LPS_20210513_2b	C57BL6J_F0_LPS_20210513_2c	BALBcJ_F1_Control_cb61a	BALBcJ_F1_Control_cb61b	BALBcJ_F1_Control_cb61c	BALBcJ_F1_Control_cb61d	C57BL6J_F1_Control_cb61a	C57BL6J_F1_Control_cb61b	C57BL6J_F1_Control_cb61c	C57BL6J_F1_Control_cb61d	BALBcJ_F1_LPS_cb61a	BALBcJ_F1_LPS_cb61b	BALBcJ_F1_LPS_cb62a	BALBcJ_F1_LPS_cb62b	BALBcJ_F1_LPS_cb62c	C57BL6J_F1_LPS_cb61a	C57BL6J_F1_LPS_cb61b	C57BL6J_F1_LPS_cb62a	C57BL6J_F1_LPS_cb62b	C57BL6J_F1_LPS_cb62c
4930486F22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M1ap	0.858	1.121	0.854	0.681	1.748	0.637	1.916	0.966	0.599	1.086	2.38	2.638	0.824	0.223	2.087	0.677	0	2.555	0.768	2.655	0.754	0	0.917	1.504	2.261	1.059
Myo1b	0.472	0.329	0.721	0.646	0.584	1.035	0.566	1.255	1.009	1.008	0.615	1.893	0.669	1.149	0.678	1.34	3.891	1.397	0.485	1.752	0.612	4.308	1.601	1.157	0.626	1.262
Olfr1133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsph1	22.38	82.742	9.108	13.12	61.47	18.714	11.193	26.653	1.01	1.555	2.637	1.608	0.971	1.492	2.543	1.546	4.281	0.927	4.023	5.153	0.222	3.985	0.865	3.734	4.787	0.208
Pianp	188.556	151.045	29.016	25.754	43.903	33.995	12.413	6.573	170.844	136.384	205.851	201.007	67.107	45.793	81.634	77.004	41.362	28.832	56.245	36.932	19.966	11.48	11.047	31.523	11.153	11.562
4930441J16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3gl2	0	0	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12657	0.106	0.13	0.55	0.317	0	0	0.729	0.202	0	0	0	0	0	0.312	0	0	0	0	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eef1akmt1	9.435	7.35	6.305	8.377	6.878	6.897	7.924	3.563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsfm	11.415	14.405	7.89	8.032	8.987	5.322	3.484	2.689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde8a	72.801	71.562	53.627	81.308	20.164	30.983	27.176	26.737	0	0.119	0	0	0	0.114	0	0	0	0	0	0	0	0	0	0	0	0
Hist1h2bn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prrg3	0.069	0.021	0.045	0.104	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4933424L21Rik	0	0.107	0	0	0	0	0	0	0.88	0	0	0	0.282	0.255	1.667	0	0	0	0	0	0	0	0	0	0	0
Rhox3h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gtf2a2	29.765	29.285	35.238	28.272	20.152	24.688	23.643	10.189	1.037	2.146	0.624	1.217	0.855	1.931	0.602	0.585	0.174	1.87	0.738	1.531	1.173	0.162	1.744	0.684	0.533	1.099
Gm11487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hbb-bh1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam71e1	1.179	1.018	0.768	1.944	0	0	0	0.226	1.2	0.725	1.011	0.205	0.385	1.043	0	3.951	1.178	0	0	1.55	0	1.096	0	0	0	0
Cstf3	7.385	7.897	6.632	8.4	6.299	6.982	7.531	5.987	3.58	2.627	3.899	2.409	3.621	2.414	3.56	2.316	3.27	1.771	3.012	6.06	1.956	3.044	1.652	2.796	5.629	1.832
Olfr806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm8298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chrnb4	0.118	0.073	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srd5a3	35.765	33.447	35.464	41.186	23.296	26.122	31.154	20.353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh2b2	8.678	9.067	17.558	17.69	39.129	36.04	43.366	33.692	0	0.055	0	0.062	0.059	0	0	0	0	0	0.485	0.236	0	0	0.326	0	0	0
Olfr203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fabp1	10.779	19.317	9.8	12.809	21.286	40.062	35.79	74.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Itih3	1.031	1.045	1.247	3.203	4.365	4.651	6.037	18.538	3.562	5.207	3.737	3.081	3.786	3.856	5.635	2.098	4.121	1.793	5.415	6.458	17.218	7.055	3.279	5.835	5.85	16.699
Gm20498	7.188	7.435	5.349	6.561	7.318	5.976	8.319	5.895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Topors	10.594	17.699	17.01	14.318	16.079	18.084	17.074	16.578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcam	0.143	0.328	0.32	0.184	0.268	0.517	0.777	1.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trmt10b	5.524	5.237	4.463	4.142	2.559	1.808	0.441	0.392	6.943	8.096	5.409	13.191	6.176	7.09	6.908	7.971	0	0	1.469	2.13	0.688	2.949	1.022	0	0.625	0.429
Olfr1251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnfsf18	0.35	0.493	0.26	0.45	0.154	0.379	0.172	0.765	0.594	0.614	0.214	1.219	0.082	0.147	0.62	0.251	0	0	0	0.219	0	0	0.908	0	0.509	0.14
1300017J02Rik	0.912	1.519	1.723	3.283	2.598	3.917	2.518	5.761	0.077	0.981	1.043	0.079	0.298	0.336	0.314	1.07	0.638	1.155	0	0	0.886	1.018	0	0	1.393	2.936
Lrrc23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9130008F23Rik	0.43	0.412	3.42	2.363	0.184	0	1.73	0.457	0.567	0.44	0.341	0.583	9.117	11.831	9.938	9.922	0	0	1.453	0.209	0	9.591	2.689	11.534	2.431	1.737
4930509K18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930524O05Rik	0	0	0	0.262	0	0	0	0	0	0	0.749	0.609	0.285	0	0.722	0	0	0	0	0	0	2.599	0	0	0	0
Pcdhb19	0.022	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mgat3	0	0	0.029	0.033	0	0	0	0.042	0	0	0	0	0	0	0	0.074	0	0	0	0	0	0	0	0	0	0
Chd3	55.941	56.149	58.039	60.072	16.957	20.248	18.983	16.405	10.71	11.862	12.393	12.436	10.601	12.138	13.598	13.507	5.68	3.045	5.526	5.92	3.185	5.129	4.313	5.529	5.355	2.705
Trim5	0.497	0.358	7.281	6.645	0.191	2.301	3.858	3.329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Btf3l4	2.671	2.29	3.903	3.029	1.354	1.81	0.899	1.309	6.799	10.463	10.429	11.126	6.538	10.04	10.057	10.699	6.704	4.63	5.505	3.142	3.795	6.24	4.32	5.109	2.919	3.556
Actr5	6.785	7.082	8.043	8.088	4.82	4.174	3.377	1.998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmo1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nudt1	4.753	7.774	4.575	4.958	1.988	1.044	0.891	1.186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rem2	0	0	0	0.082	1.137	1.106	0.472	0.838	0	0.336	0.156	0.191	0	0.161	0.151	0	3.937	0.853	5.273	2.4	1.88	1.629	1.79	1.03	0.334	2.298
Ncor2	47.963	41.765	38.096	39.797	7.611	7.905	9.342	8.768	75.125	69.149	93.293	82.644	63.54	57.353	75.42	65.99	10.034	8.064	10.257	15.495	8.692	9.649	9.6	8.362	13.425	6.395
2610002M06Rik	8.86	8.229	7.217	7.013	5.487	5.928	5.816	6.653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sirt3	5.563	6.681	7.625	7.793	0.845	1.479	3.41	1.401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2afb3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clns1a	16.564	16.533	10.924	10.847	12.092	12.05	7.656	6.107	22.898	20.13	21.24	27.011	24.052	19.003	18.347	22.612	10.748	13.138	15.717	14.655	10.032	10.399	6.847	10.582	15.348	5.571
Ino80c	15.57	15.483	18.966	18.232	10.972	13.696	15.619	10.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp3r1	98.388	93.551	89.171	85.336	116.9	120.04	86.98	68.485	100.9	87.395	97.963	105.08	72.68	80.262	85.775	89.064	109.252	142.984	88.158	82.596	92.676	98.364	122.608	77.354	77.253	84.176
Col6a6	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0.064	0	0	0	0	0	0
Dexi	13.449	14.573	7.741	10.808	3.545	1.126	3.589	1.849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Srcap	36.39	33.464	46.835	45.764	17.176	16.596	22.136	18.103	1.784	1.877	2.382	2.162	1.576	1.718	1.605	1.174	0.359	0.387	0.768	0.228	0.269	0.141	0.103	0.891	1.022	0.186
Pkd1l3	3.115	2.309	3.298	2.901	5.254	4.688	6.378	6.111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam136a	9.385	8.087	9.543	6.94	6.282	6.006	6.21	3.321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930590L20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttc4	11.028	10.475	15.671	14.726	10.655	8.842	8.332	5.314	24.79	25.79	26.228	23.845	23.707	26.588	25.072	25.425	17.127	9.639	14.759	10.321	10.218	11.6	14.404	12.309	12.375	10.306
Sppl2c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clec2e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pou2af1	0.04	0.347	0.419	0.241	1.826	1.016	3.677	2.924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19466	0.223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptges3	30.545	36.306	25.37	23.894	64.775	59.357	41.464	41.94	0.808	0	0.454	0	0.518	0	0.073	0.621	0	0	0	0.464	0	0	0.866	0	0	0.37
Lsm8	11.481	9.896	10.267	10.786	5.535	9.082	4.295	8.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28042	1.785	1.751	2.166	1.369	0.468	0.82	0.63	0.737	7.296	4.582	4.377	6.185	8.307	5.712	8.246	7.477	3.201	2.764	2.022	1.867	2.878	3.432	0.811	2.926	1.198	2.072
Olfr24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map2k6	3.425	3	6.4	5.583	0.879	4.012	0.942	0.855	8.171	3.509	8.727	7.18	6.804	3.514	7.8	10.149	0	6.863	2.013	0.326	1.854	0	1.443	1.869	1.314	2.501
Egfbp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam222b	6.58	8.214	9.639	8.036	5.676	5.025	7.506	5.635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snrnp70	116.046	105.152	119.797	111.795	76.854	66.592	75.446	63.704	9.606	10.826	10.896	13.11	8.786	10.241	10.091	12.522	10.305	6.614	3.657	5.791	6.313	9.592	6.171	3.394	5.38	5.809
Nufip1	4.727	5.895	5.04	4.207	7.816	6.559	7.528	5.319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saal1	1.626	1.572	1.716	1.285	1.133	0.777	0.303	0.546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5730405O15Rik	0.582	0.144	0.455	1.047	0.179	0	1.205	0.446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9230009I02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef39	2.629	2.339	3.985	2.779	0.033	0.326	0.297	0.33	0	0.066	0	0	0	0.064	0	0	0	0	0	0	0	0	0	0	0	0
Tssk4	0.873	0.988	1.137	1.855	0.056	0.551	0.377	0.139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nras	38.987	40.833	34.819	31.445	45.093	46.257	42.466	46.221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cox7c	12.98	9.721	0	1.39	17.124	14.048	2.799	1.331	99.898	103.646	90.431	109.051	11.724	44.433	40.251	57.481	50.012	113.727	84.214	68.582	115.965	5.172	33.265	47.621	62.77	47.028
Dmbt1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Platr10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1qb	4857.01	5039.867	5014.321	5063.985	4661.902	4447.589	4877.912	3705.094	24714.229	22741.395	25499.476	24701.218	23581.515	22421.537	25057.321	24003.473	25106.2	25939.611	23142.18	23799.023	25059.703	23634.464	24028.352	21357.342	21916.952	23586.641
Sct	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdh6	0	0	0	0.019	0.019	0.032	0.348	0.459	0	0	0.072	0	0	0.112	0.07	0	0.454	0	0	0.249	0	1.455	0.115	0.277	0.206	0
Rheb	47.267	52.758	42.574	42.077	51.365	54.351	37.601	45.487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp273	0.845	0.823	1.505	0.933	0.205	0.112	0.307	0.425	6.336	7.173	6.544	10.845	12.041	9.964	15.807	9.982	0	0	3.005	0	1.461	1.653	1.615	1.534	0.543	1.742
Bambi-ps1	2.289	3.346	3.533	1.78	3.066	3.639	6.874	7.3	4.315	5.601	6.421	6.943	2.075	4.75	3.038	6.25	4.742	1.981	8.309	12.449	5.317	5.36	4.928	12.231	12.946	5.338
4930503E14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tm4sf4	0.222	0.365	0.289	0.444	1.594	0.747	2.68	0.708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saa3	0	0	0	0.882	59.134	100.985	42.949	59.644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cypt7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nqo1	0.133	0.082	0.087	0	0	0	0.345	0.255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scn4a	0.016	0.019	0.041	0	0	0.237	0.027	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam169a	0.091	0.056	0.089	0.102	0.035	0.115	0.117	0.087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adcyap1r1	0.083	0	0.043	0.025	0.064	0.125	0	0	0	0.178	0.189	0.374	0	0.049	0.091	0	0	0	0.335	0.145	0	0	0	0.518	0	0.231
1810062G17Rik	0.114	0	0.296	0.17	0	0.287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110082J24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bscl2	64.769	52.848	51.392	53.155	27.646	21.88	23.059	19.714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elac2	11.173	9.403	11.63	11.207	5.579	4.435	4.9	3.933	7.228	6.891	9.613	6.381	5.731	7.439	9.013	6.575	0.672	4.875	1.263	0.983	1.73	3.335	2.172	0.645	0.913	0.575
Lim2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem254c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tas2r110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nop56	16.742	18.963	12.825	12.388	24.294	16.718	17.745	17.066	105.833	78.356	86.712	83.038	79.541	70.028	71.106	66.465	53.778	63.916	73.133	57.079	57.034	57.177	52.381	60.58	48.572	39.044
Wdtc1	36.169	32.949	23.083	26.06	9.488	9.253	7.432	7.201	129.341	123.827	135.293	136.017	112.337	110.321	123.172	122.539	40.755	33.308	31.377	29.029	20.631	37.473	41.107	27.761	28.582	25.704
Olfr141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fkbp5	28.42	87.326	118.092	49.791	22.178	46.862	16.282	11.803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Banf1	36.574	28.196	25.759	24.064	24.843	29.688	21.409	17.498	0	0.143	0	0.65	0	0.413	0	0.313	0	0	0	0	0	0	0	0	0	0
Thop1	9.41	9.632	7.144	7.806	2.681	2.427	2.487	1.533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prkcq	5.875	5.243	6.227	7.264	0.12	1.263	1.887	1.675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wscd1	0.038	0.093	0.098	0.113	0	0	0	0.072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcc10	22.339	23.685	40.342	41.622	6.423	8.399	12.739	9.647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat8f7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc9	20.231	21.615	24.181	25.138	11.987	12.353	16.96	12.087	6.447	7.517	6.04	6.951	6.664	7.003	5.563	7.162	1.708	3.236	2.969	3.955	6.525	1.59	3.02	1.862	3.675	6.446
Dnase2a	141.433	145.34	147.87	149.22	47.663	50.229	50.386	42.76	129.767	106.201	157.329	163.535	124.476	100.427	151.117	155.04	51.935	25.369	35.42	40.973	39.764	46.818	21.841	34.057	37.424	36.727
Hoxd9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtus2	0.214	0.158	0.502	0.235	0.088	0.144	0.049	0.109	0.048	0.066	0.122	0.05	0	0.063	0	0.096	0	0	0	0	0	0	0	0	0.087	0
Mrpl12	25.886	33.103	22.015	21.706	33.744	16.81	22.239	13.749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc2a7	0	0	0.086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpa1	19.008	18.51	18.978	16.402	4.799	4.463	5.005	2.999	21.616	20.549	23.21	22.256	21.112	20.555	22.153	20.116	3.198	1.039	4.565	5.116	2.191	2.667	0.969	4.289	4.617	2.053
Rspo3	0.818	0.372	1.795	0.194	0.464	0.653	1.189	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem132a	79.996	73.001	97.082	104.861	55.228	66.691	81.061	95.352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhgb1	3.299	3.843	2.834	2.13	2.609	2.488	3.557	2.411	3.732	2.007	2.063	2.236	3.589	2.128	2.494	2.073	2.014	1.829	0.503	1.054	1.129	2.045	1.623	0.467	0.98	1.507
Krt88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mlph	0.161	0	0.33	0.138	0.248	0.116	0.358	0.088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prss33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyurf	3.122	2.583	2.157	3.054	2.857	2.788	3.186	2.769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hoxc10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kmt2b	21.569	23.344	31.295	28.963	21.654	17.387	23.946	20.312	24.524	26.647	26.036	25.992	22.011	21.097	25.327	23.544	17.432	14.901	17.504	23.371	8.536	17.335	12.663	13.742	15.608	7.759
Stag2	48.693	43.796	56.306	48.152	43.476	47.032	45.743	58.391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rfx5	9.539	7.805	13.724	11.379	13.877	14.779	13.256	16.434	7.871	5.593	6.936	8.208	8.617	8.103	7.541	7.494	8.46	4.771	11.618	10.428	7.852	6.105	4.192	12.835	9.252	7.29
4930590J08Rik	0.031	0.075	0	0.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam227a	0.12	0.123	0.078	0.209	0	0	0	0	0.135	0.092	0.313	0.174	0.26	0.088	0.027	0.033	0	0	0	0	0	0	0	0	0	0
Gm8653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polr3c	16.776	16.197	20.415	18.65	20.968	18.261	18.264	24.686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930519F16Rik	0.093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-M3	41.528	44.586	60.426	66.416	36.212	39.488	48.559	52.331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dgkk	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp14	17.411	16.511	15.02	15.332	26.798	20.145	18.875	14.982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpp25	0.077	0.189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aarsd1	7.724	9.528	7.011	9.009	3.723	4.532	2.961	1.941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nhs	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lin54	6.41	6.794	7.685	7.773	4.648	4.032	2.954	3.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hspb1	0.229	0.141	0.895	0.344	0.353	0.289	0.395	1.974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccser1	0	0	0	0	0	0.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dbhos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam78a	22.113	26.864	33.881	28.268	1.799	2.335	0.842	0.786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdzd11	19.529	20.783	18.326	15.934	23.722	24.901	21.966	18.503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp943	7.432	6.096	14.787	12.388	4.297	4.573	6.834	4.548	5.633	7.478	9.974	9.006	16.866	12.961	14.038	13.843	1.206	4.187	0.701	2.398	3.268	8.909	3.427	5.384	8.296	2.164
Amy2a3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17f	0	0	0.114	0.132	0	0	0	0	0	0	0	0	0	0	0	0.147	0	0	0	0	0	0	0	0	0	0
Olfr1389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exoc8	4.295	5.898	6.462	5.773	4.172	2.317	3.741	3.059	21.179	20.355	24.314	18.601	21.999	21.911	22.202	21.218	4.887	9.499	7.798	6.885	8.075	6.746	7.752	6.06	9.057	8.694
Sult6b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd6	0.034	0	0.266	0.307	0	0	0.118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grk5	10.098	10.602	6.895	7.645	5.382	6.107	6.484	3.877	33.55	32.191	31.9	31.264	25.436	24.867	27.205	27.271	25.79	13.426	17.231	27.147	13.715	17.381	11.934	13.788	21.028	16.463
Gsdma3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam160a1	0.071	0.058	0.092	0.106	0.054	0.059	0.081	0.045	0	0	0	0	0	0	0	0.237	0	0	0	0.206	0	0	0	0	0.192	0
Gle1	13.089	13.187	13.532	11.686	5.408	3.617	5.114	3.697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcdhb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3pxd2a	9.319	10.134	11.687	11.743	3.692	3.508	4.096	3.487	23.535	16.379	25.918	22.144	25.091	24.767	34.824	28.985	7.951	7.231	7.075	12.285	5.767	4.488	3.436	7.586	10.751	6.382
Krtap7-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pmf1	18.257	20.86	25.903	29.106	5.176	8.008	8.786	3.862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
