	BALBcJ_F0_Control_BALB01C	BALBcJ_F0_Control_BALB01D	C57BL6J_F0_Control_C5701C	C57BL6J_F0_Control_C5701D	BALBcJ_F0_LPS_20210513_1a	BALBcJ_F0_LPS_20210513_1b	C57BL6J_F0_LPS_20210513_2b	C57BL6J_F0_LPS_20210513_2c	BALBcJ_F1_Control_cb61a	BALBcJ_F1_Control_cb61b	BALBcJ_F1_Control_cb61c	BALBcJ_F1_Control_cb61d	C57BL6J_F1_Control_cb61a	C57BL6J_F1_Control_cb61b	C57BL6J_F1_Control_cb61c	C57BL6J_F1_Control_cb61d	BALBcJ_F1_LPS_cb61a	BALBcJ_F1_LPS_cb61b	BALBcJ_F1_LPS_cb62a	BALBcJ_F1_LPS_cb62b	BALBcJ_F1_LPS_cb62c	C57BL6J_F1_LPS_cb61a	C57BL6J_F1_LPS_cb61b	C57BL6J_F1_LPS_cb62a	C57BL6J_F1_LPS_cb62b	C57BL6J_F1_LPS_cb62c
Gm32123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010106E10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col1a1	2	3	3	0	2	8	3	17	1	0	1	2	0	0	1	2	0	0	0	2	0	0	0	0	2	0
Plrg1	319	287	247	185	523	100	173	121	3	7.5	12	7.5	3	7.5	12	7.5	0	8.5	3.5	8	11.5	0	8.5	3.5	7	11.5
Gas2l1	1002	722	537	421	459	96	222	173	89.5	81.5	142.5	80.5	88.5	81.5	142.5	80.5	57	24.5	26	29.5	33	57	24.5	26	29.5	33
Pax5	7	0	2	3	1	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamtor2	283	252	160	131	237	88	112	47	10.5	10.5	15.5	15.5	10.5	10.5	15.5	15.5	11	8.5	19.5	5.5	9.5	11	8.5	19.5	5.5	9.5
H2-Q10	699	641	47	64	1290	305	98	160	33	22.5	24.5	24.5	62.5	45.5	83	24.5	17	25.5	9	11.5	154	100	23.5	40.5	52.5	166.5
Derl2	719	704	589	577	1113	300	459	358	174	110	125	86	190	114	146.5	121	82	40.5	53.5	68	91.5	83.5	46	50	72.5	148.5
Barhl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpf2	130	100	116	83	120	46	59	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nrcam	6	0	0	0	0	1	0	0	0	0	0	1.5	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0
LOC666331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grem2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
Gm16143	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D630013N20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bicra	1012	877	1091	902	300	74	197	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cog1	687	604	515	473	658	177	253	192	584.5	684.5	671	553	545	557.5	659.5	563.5	226	170.5	210	219	193.5	244.5	161.5	277	272.5	152
Hif1a	1576	1242	1412	1189	3446	1091	1175	1215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Etnppl	3	14	2	12	8	3	3	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm32693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rit2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tas2r125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp729b	130	179	229	140	209	73	102	80	154	164.5	219.5	127.5	120.5	175	177	120	34	2.5	62	61.5	78.5	14.5	24	46	43.5	47
Olfr239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm32168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nkx3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cx3cl1	19	9	51	36	90	32	21	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5177	0	0	0	0	1	1	1	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
Dctn6	255	215	232	185	118	69	62	58	628	565.5	616	505.5	626.5	566	669	604	70.5	166	199	150.5	169	122.5	196	175	125.5	283.5
Epgn	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ap1g1	2069	1500	1664	1371	3158	790	1382	1489	58.5	72	62	63	58.5	72	62	63	71	71.5	29	44	19	71	71.5	29	44	19
Tnr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Osgin2	136	107	110	99	94	36	75	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnot3	734	629	631	514	461	107	230	149	276.5	283	332	244	167	173.5	201.5	143	97.5	74.5	86.5	91.5	99.5	62.5	39.5	59.5	64.5	58.5
Shc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930555K19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zdhhc22	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grik1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crym	44	38	0	2	12	4	0	4	1	5	3	2	0	1.5	0	0	0	2	0	0	0	0	2	0	0	0
Srd5a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stra8	1	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mum1l1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm1647	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pax6os1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Map3k7cl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
Dhrs7b	182	152	91	95	89	21	20	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daxx	765	799	528	438	3040	1370	1837	4147	37.5	48.5	52	29.5	38	53	53	38.5	291.5	253	429	431.5	326	273.5	236.5	429	455.5	364
Zfp711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klhl13	111	103	120	107	25	26	34	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ugt2b37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhf1	1	5	12	6	55	11	9	4	15	22	19.5	18.5	23.5	23	21.5	31.5	33	28	13	27	68	10	11.5	24	13	16
Stox2	5	3	1	1	4	2	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm609	0	0	0	2	0	1	0	0	0.5	2	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	2	0
5330411J11Rik	27	19	60	35	0	4	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102631757	0	0	0	1	0	0	0	0	0	1.5	0	0	0	1.5	0	0.5	0	0	0	0	0	0	0	0	0	0
Pcgf1	31	32	28	38	26	7	14	8	12.5	5.5	7.5	7	11	14.5	9.5	6.5	0	0	6.5	10	0	13	0	0	6	0
Cavin2	17	26	48	21	6	6	16	4	49	19	29	26	50.5	17.5	38.5	21.5	0	0	7	0	25.5	0	0	7	0	24
Ola1	379	284	343	256	385	94	151	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam76a	601	458	473	474	567	201	313	225	701.5	648.5	745	688.5	680	716	817	710.5	393.5	471.5	410	366	467.5	443.5	571	387	427.5	602.5
Cstf2	288	197	191	143	491	126	247	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atxn1	2324	1444	1268	1221	1039	465	560	583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Galnt18	1	2	3	0	0	8	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fcrl5	0	0	0	0	0	1	5	0	0	0	0	0	0	2	0	0	0	5.5	0	0	5	0	5.5	0	2.5	8
Ssh1	553	468	564	432	571	111	321	161	365	441	547	457	385	493.5	578	454	233.5	115.5	186	161.5	113	222.5	238.5	279.5	216.5	80.5
Olfr1425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
St3gal6	663	636	705	629	1495	571	736	562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bin3	877	790	1043	829	353	142	184	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgef9	2	2	0	2	0	1	1	2	3	1	0	3.5	0	0	0	3	0	0	0	0.5	0	0	0	0	0	0
Gdi2	8041	6057	7170	5890	5152	1897	2497	1933	1764.5	1676	2071.5	1827.5	1669.5	1627	2340	1952	579	771	670	549.5	1228	676.5	785.5	788.5	589.5	993
Mrps30	276	214	224	228	260	85	125	83	459	429.5	548	431	472	532	605.5	487.5	281.5	279	205	242.5	291	305	327.5	245.5	260	347
E2f5	187	150	110	70	391	104	156	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zxdc	297	295	297	290	354	85	191	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r3b	140	168	153	115	116	31	56	64	312.5	293	353.5	278	429	419	483	371	36.5	58	29	60.5	51	66	109	112	74.5	79.5
Olfr911-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micu3	96	85	143	128	57	24	35	57	112	62	77.5	106.5	147	115.5	121	133	23	21	26.5	15	28.5	33	24	29	37.5	48.5
Cenpi	24	19	39	27	0	10	5	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dock5	1063	806	1175	996	1077	288	240	175	453	413.5	562	501	391.5	427.5	506.5	462.5	96.5	140	161	90	112.5	106.5	58	67	107.5	92
Ttc30a1	8	23	22	12	13	1	5	6	0	5.5	12.5	7	7.5	5	5.5	5.5	5	0	0	0	1	0	0	0	0	1
Zfp831	1	0	6	10	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtpap	306	303	399	295	821	180	287	206	0	2.5	2	1.5	2	0	0	0	0	0	0	2	0	0	0	0	0	0
Mthfd1	247	164	130	95	116	12	26	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2m	778	683	579	500	956	237	364	259	1	8.5	9	14.5	4	13	13.5	12	4	0	5	12	0	0	0	0	1.5	0
Nt5m	113	112	96	79	48	13	19	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kcnb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kif3b	1326	1112	1051	891	2531	548	907	429	53	62.5	99.5	70	53	62.5	99.5	70	45.5	55.5	65	54	47.5	45.5	55.5	65	54	47.5
Rpl26	0	2	230	235	7	1	193	138	9	21	15	17	1821.5	2041.5	2377.5	2068	6.5	6.5	6	2.5	8.5	1278	1472	1456.5	1533.5	2789.5
Hk3	2398	2295	3778	3201	4553	1156	3847	5090	3067.5	3712	3261	2322.5	3452.5	3940.5	3492.5	2692.5	3351.5	3200.5	4397.5	3195	4186	3334.5	3186	4258.5	3159.5	4318
Olfr733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rwdd1	98	99	71	62	157	42	47	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fndc3c1	7	0	4	6	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tulp3	25	11	26	22	4	5	3	2	0	0.5	7	4	0	0.5	6.5	4	0	0	0	0	0	0	0	0	0	0
Npy2r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921536K21Rik	4	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tomt	191	160	241	197	25	27	26	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nab2	515	528	794	703	898	308	498	352	67	89	125.5	85.5	67	89	125.5	84.5	59.5	75.5	86	68	39	59.5	75.5	86	68	39
Gm15471	21	17	29	21	24	6	7	3	6	14	6.5	4.5	6	11.5	11	6.5	0	0	11	0	5	0	0	3.5	1	0
Plscr1	58	46	19	7	347	93	67	125	0	0	0	0	0	0	0	1	0	2.5	0	0	0	0	0	0	0	0
Abi2	473	319	474	341	181	53	81	57	112	99	119.5	85.5	105.5	101	125	78.5	17.5	11	12	8.5	9.5	16	11	12	5.5	8.5
Myl9	1	0	2	6	0	2	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gprasp2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930459C07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29684	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap5	540	431	868	720	185	59	101	123	186	179.5	228.5	180	214	178.5	243.5	205	65	12	18.5	29	14.5	19	18.5	15.5	22	12
Kri1	346	395	299	255	836	197	391	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cngb1	0	2	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rin1	10	6	22	9	43	5	6	16	4	15	11	10	9	19	22.5	16	5.5	0	0	0.5	16.5	0	2.5	0	3	6.5
Ccdc82	462	294	377	301	712	233	326	225	7.5	18	18.5	15.5	1.5	0	0	1	20	9.5	22.5	26	13	0	0	0	0	0
Klk1b8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm32141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rtbdn	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	3.5	0	0	0	0	0	0	0	0	0	0
Sf1	4800	3370	4060	3220	5839	1589	3004	2214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sobp	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmg3	74	71	40	46	102	20	28	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl13a	2330	2121	2007	1926	1802	702	1440	911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc9a1	1724	1280	1105	968	1140	315	594	619	1704.5	1875.5	2087.5	1569.5	1674.5	1883	2006.5	1498	848	708.5	923.5	689.5	697	940.5	738	911.5	717.5	923.5
Gtf3c4	291	296	275	199	406	98	127	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tnk2	360	296	469	411	115	71	145	85	53.5	69	72	73.5	75	84.5	87.5	76	3	0.5	0	8	17	32	0.5	10	8.5	22
Gpr62	1	0	2	2	0	2	7	0	0	0.5	0	0	0	0.5	0	0	0	0	0	3	1.5	0	0	0	0	0
Sh3glb1	5804	4601	6043	4977	7015	2354	3603	3619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ipo7	1968	1750	2018	1546	2800	766	1054	1085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4930556L07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arfgap1	584	473	519	400	775	203	324	219	356	354.5	397	367.5	383.5	379.5	410	384.5	197.5	238	285.5	207	167.5	246.5	248	345.5	251.5	231
Tdrd7	1202	1050	642	537	1916	740	944	1519	126	127	152.5	155	124.5	116.5	182	141	296	253	317	312.5	175	287	246	271.5	290.5	177
Bbs1	94	45	23	23	9	4	3	0	40.5	14.5	27.5	27	32.5	19	20	28	0	0	6	4	0	0	0	0	2	5.5
Park2	32	30	41	32	22	9	34	13	4	5	11	4.5	6.5	2	8.5	2	0	7	0	2.5	0	0	7	5.5	2.5	0
A930005H10Rik	53	31	16	21	37	6	11	4	57.5	52.5	65.5	44	28	40.5	31.5	39	21	8	11.5	10	21	45.5	4.5	56	6.5	50
Gm9961	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnasek	1270	1039	790	683	1061	334	502	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exosc8	152	150	105	74	131	28	56	31	34.5	40	32.5	25	42.5	38	32.5	29	3	4	8	10.5	31.5	3	32.5	18.5	19	22.5
Tas2r131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trip10	147	180	41	41	635	98	111	126	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Nme8	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rasgef1c	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A130077B15Rik	179	136	110	107	70	39	50	64	17.5	3.5	19	7.5	16	9	36.5	19	10	12	0	1.5	1.5	24	16.5	13.5	13.5	3.5
Echdc3	3	2	1	2	6	5	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpdz	11	4	8	5	0	5	5	8	2	17.5	10.5	4	11	13.5	10	10.5	6	14	7	8	7.5	1	7	5	14.5	3
Gpr135	4	5	6	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdkn2d	29	29	30	28	151	24	81	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arid4b	514	375	433	363	506	110	195	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lman1	1422	1220	938	715	1650	453	505	379	879	907.5	1107.5	895.5	911	950.5	1141.5	857	609.5	537.5	714.5	513.5	555	605.5	564	722.5	483	519.5
Ubqln2	893	844	559	505	546	165	211	119	357	299.5	370	339	12.5	16	24.5	23	98	51	102	53.5	58.5	0	0	2.5	0	3.5
Cyp4a30b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sptbn4	6	6	14	4	18	1	0	3	12.5	23.5	8	19	8.5	20.5	7	5.5	0	4	7	6.5	0	0	0	7	0.5	4.5
Meioc	7	2	5	2	1	0	2	0	0	1	0	0	3.5	0	1	0	0	0	0	0	0	0	0	0	0	0
Vmn2r52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sap30	141	147	61	66	315	142	159	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jakmip3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adamtsl1	0	1	1	4	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	1.5	0	0	0	0	0	0
Endov	238	187	140	148	163	34	36	51	145.5	151	179	119	135	110.5	159.5	123	33	59.5	29.5	40.5	39.5	53.5	87	39.5	30.5	38
Runx1	952	880	761	759	4747	1473	2761	2755	468.5	724.5	586.5	437.5	510	797	718	469.5	1388	1361.5	1393.5	1325	1054.5	1709	1406.5	1686	1645.5	1255.5
Tom1l2	689	437	551	418	158	49	69	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tifa	1457	1142	785	636	8949	2647	3451	4167	2145.5	1927	2123	1899	1370	1181.5	1299.5	1028	8856	9210.5	10722	8780	13328	10819.5	10225.5	12582.5	10530	15630
Ing4	997	881	842	747	331	102	138	58	498	430	601	428.5	444	462.5	551.5	386	76.5	54	85	25	20	50	64.5	58	24	48.5
Tmem144	65	39	32	31	15	1	2	6	35	22.5	39	39.5	50	39	44.5	63	15	12.5	0	4	31	1	12.5	1	3.5	22.5
Gm10352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smcr8	1651	1620	1394	1361	2482	660	1152	1493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trim68	221	148	109	76	99	23	26	12	120	102	119.5	121.5	114.5	88	88	106.5	15	25.5	32.5	15.5	15.5	11	9	1.5	10	15
Olfr458	0	1	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajc11	489	413	341	323	781	173	253	202	303	375	346	293.5	336.5	353.5	386.5	314	227	200.5	295.5	195	311.5	209	246	301	177	296
Mageb5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5830408C22Rik	8	1	2	5	14	5	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lipe	389	333	466	374	505	132	261	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11127	247	255	0	1	424	104	0	3	3.5	1.5	8.5	3	3	0	0	0	3.5	0	2.5	0	0	0	0	0	0	0
Elavl1	1486	1272	1160	978	2609	670	977	804	14.5	14.5	4	7	4	10	11	9.5	0	0	2	0	15	0	0	2	2	5
Peg13	1259	1063	959	685	500	202	205	115	59	49.5	87	77	501	370.5	640	534.5	6.5	4	2.5	14.5	8	35.5	63	66	59	75
Meig1	1	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2-Q9	46	23	196	408	471	134	550	323	51.5	77.5	62	52.5	49.5	82.5	76.5	60	221.5	275	334.5	148	287.5	249	304.5	367	185	307.5
2810001G20Rik	15	10	4	12	17	0	5	4	4	16	10	9	7.5	18.5	21	14.5	0	0	3	0.5	0	5.5	6.5	4	9	5
Ahsa2	518	650	381	344	613	154	155	196	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcee	158	156	80	51	95	44	43	47	332.5	277	315	277.5	307.5	273.5	322.5	296	100.5	149.5	135	163.5	221.5	119	163.5	141.5	174.5	215.5
Phgr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccnt2	1046	870	1174	956	1598	416	749	656	212.5	185.5	219	193.5	208	184.5	229	189	85.5	83	193	126	148	97	72.5	135	122	114
Aes	2990	2182	1591	1346	1204	325	567	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lpp	2080	1218	1424	1109	1581	512	798	883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl17	310	291	150	134	382	62	52	30	846	742	799	727.5	540	479.5	564	424.5	235.5	267.5	262.5	291.5	379	80	135.5	139	140	170.5
Nudt10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synj2bp	698	583	559	492	665	177	217	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9054	104	95	4	0	15	4	2	1	210.5	210.5	263	179	13	12.5	7	11	67.5	7.5	58.5	17	14.5	4	6	20	26	0
Polg2	52	43	60	29	41	17	35	26	23	17.5	18.5	33.5	27.5	27	38	12	33.5	11.5	6.5	18	5.5	10	13.5	0	19.5	0
Rbm42	796	766	688	587	884	243	450	287	375.5	399.5	488.5	429	377	407.5	500.5	425	193	269	348.5	238	317	197.5	299.5	285	241.5	335
4930471G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chic2	542	453	431	346	1327	431	315	315	208.5	169.5	210	158.5	198.5	153.5	216	160	221.5	313	310.5	248.5	361	227.5	303	303.5	250.5	334
Stoml3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pip4k2a	2346	1913	1960	1494	1302	356	438	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clpx	334	288	286	233	448	117	154	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eif3k	778	629	594	500	751	214	276	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hinfp	159	163	153	119	176	47	105	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klkb1	16	24	35	46	23	15	29	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
